0;18800;"07";Uma pequena ilha pacata, com sua cidadezinha, tem sua vida transformada quando alguém deixa
18800;20760;"07";uma bolsa num terminal de ônibus.
21000;27500;"07";Essa bolsa tem uma pequena explosão, um vírus se espalha e uma raiva a tomar conta das pessoas.
27500;32400;"07";As primeiras cenas fizeram qualquer um que tenha assistido um filme de zumbis entender
32400;33880;"07";o que estava acontecendo.
34220;38800;"07";As pessoas atacavam mais as outras e espalhavam aquele vírus de maneira muito rápida.
39260;43960;"07";Mais rápido que isso foi a ação do exército, que fechou seu espaço aéreo e marítimo e
43960;45740;"07";evitou que o vírus saísse da ilha.
46260;51880;"07";Meses se passaram, os congressistas garantem que nenhum ser vivo ainda habita aquele lugar
51880;55900;"07";e que há um perigo real do vírus espalhar para o resto dos Estados Unidos.
55900;61960;"07";Em uma votação extremamente apertada, eles conseguiram aprovar uma detonação de
61960;67080;"07";uma pequena bomba nuclear que vai varrer a ilha do mapa junto com o vírus.
67480;70820;"07";Grupos de direitos humanos organizam passeatas pelo país todo.
71340;73200;"07";O clima está realmente tenso.
73680;79420;"07";Mas três soldados farão sua última visita àquela ilha na missão mais difícil de
79420;80180;"07";suas vidas.
80460;85840;"07";Episódio de hoje, a ilha condenada, com Isabela Fontanella no papel de Marta.
85900;92720;"07";A nossa Ice Queen, com Guilherme Vertamati, o Verta, como Weber, e o Jefferson, lá do
92720;94720;"07";dado viciado, como Texas.
95200;96600;"07";Todos os militares treinados.
97040;102900;"07";O Realidade Paralelas Washington usa uma versão adaptada do sistema Lasers e Sentimentos.
103460;106280;"07";Basicamente, cada jogador tem um único atributo.
106780;109460;"07";Você rola um dado ou dois, se for uma atração mais fácil.
109460;115320;"07";Você precisa tirar seu número, ou menos, se for uma ação física ou um ataque.
115900;120700;"07";E seu atributo, ou mais, se for uma ação não física nem um ataque.
120960;128540;"07";Como procurar, observar, qualquer coisa que envolva pensar normalmente, vai usar seu atributo, ou mais.
128960;131080;"07";Tirar o seu próprio número é um acerto crítico.
131280;133420;"07";Maiores informações no Escudo Mestre, ao final do episódio.
133900;135440;"07";Não esqueça de nos seguir nas redes sociais.
135840;138660;"07";Arroba Marcelo Guaxinim, arroba RB Guaxa.
138660;140940;"07";Um beijo pra vocês e ótima aventura.
145900;175880;"15, 16, 08, 09";Transcrição e Legendas Pedro Ribeiro Carvalho
175900;205880;"15, 08, 03, 11, 02, 06, 00";Legendas Pedro Ribeiro Carvalho
205900;216580;"15, 08";RPG Realidades Paralelas do Guaxinim
216580;219560;"08";Sua aventura de bolso na forma de podcast.
220000;222500;"08";Uma jornada completa a cada episódio.
235900;251220;"07";Uma coletiva de imprensa.
251400;253720;"07";O prefeito está falando para um grande grupo.
253720;261040;"07, 03";Como sabem, a nossa bem amada ilha de Corleones sofreu um atentado terrorista no dia 23 de fevereiro deste ano.
261380;265080;"03";Uma espécie de vírus da raiva modificado se espalhou rapidamente.
265080;268700;"03";Os famosos zumbis tomaram conta de tudo.
269040;273220;"03";Mas graças a ação rápida do exército, esse vírus ficou contido.
273900;280800;"03";E embora muitas vidas tenham se perdido, fico feliz por todos aqueles que sobreviveram, assim como eu.
281300;285220;"03";O próximo passo é eliminar esse vírus da face da terra.
285960;289720;"03";Nesse final de semana, iremos criar uma pequena explosão nuclear.
289720;291800;"03";Uma pequenina explosão nuclear.
292120;294920;"03";Que vai erradicar para sempre esse vírus maldito.
295080;299920;"03";Infelizmente, tivemos que chegar a esse ponto, mas fazer o que?
299920;302920;"03";O que importa é que ele será erradicado.
302920;304920;"03";Perguntas, por favor?
304920;306920;"00";Jujuba do Missangas News.
306920;311920;"00";Senhor prefeito, você tem certeza que não existem mais sobreviventes na ilha?
311920;313920;"03";Certeza absoluta.
313920;318920;"03";Temos drones e equipamentos varrendo aquela ilha dia e noite.
318920;320920;"03";Nada passou despercebido.
320920;323920;"03";Inclusive, uma pequena equipe do exército vai fazer uma pesquisa.
323920;325040;"03";Inclusive, uma pequena equipe do exército vai fazer uma pesquisa.
325040;329040;"03";Inclusive, uma pequena equipe do exército vai fazer uma pesquisa.
329040;331040;"03";E eu vou fazer questão de estar lá com eles.
331040;332280;"03";E eu vou fazer questão de estar lá com eles.
332280;340040;"03, 10";Para ver com meus próprios olhos e garantir que nenhum cidadão foi deixado para trás.
340040;342040;"10";Shelly, RPG Next News.
342040;346040;"10";Sobre os rumores de que o próprio exército é culpado pelo atentado, já que ninguém o assumiu.
346040;348040;"10";Nenhum culpado foi preso?
348040;352040;"10";Não é estranho o exército já estar com o espaço aéreo e marítimo fechado antes da explosão acontecer?
352040;354040;"03";Onde você vê conspiração?
354040;354880;"03";Ovojeiroi!
354880;361880;"03";Um herói que fez uma denúncia anônima e outros tantos heróis foram rápidos para agir.
361880;362880;"03";Ovojeiroi!
362880;363880;"unknown";Um herói que fez uma denúncia anônima e outros tantos heróis foram rápidos para agir.
363880;365880;"01";Debbie Cabral, do Portal Deviante.
365880;367880;"01";E a sua filha, prefeito?
