0;9460;"05";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120;15000;"05";É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120;15960;"04";Como assim?
16180;18000;"04";Você entendeu a referência do último episódio?
18240;18980;"04, 05, 03";Olha só, faz tudo!
18980;20020;"04, 05, 03";Não, o Guaxaverso sabe o que faz!
20020;20960;"04, 03";Espera, o que é o Guaxaverso?
21000;22980;"04, 03";Era só uma questão de tempo.
23080;24520;"03";O Guaxaverso sempre existiu!
24520;27180;"00, 01, 03";Eu quero entender o Guaxaverso!
27220;28560;"00, 01";Alguém me explica o que é o Guaxaverso?
28560;32020;"00, 01";É, pessoal, não existe o Guaxaverso.
32080;33720;"00, 05, 01";Eu não acredito no Guaxaverso!
33820;36560;"01";Mas supondo que ele exista...
37880;41540;"05";Guaxaverso, onde o que não existe é debatido.
45600;53240;"01";Guaxa, você tinha que ter visto o sucesso que ele fez de Shanks na época que o Gwang Mary estava aqui no Rio, esforçado.
53240;58540;"04, 01";Ah tá, a piada é que o Tiago não é uma boa pessoa, ele é esforçado, é isso que eu estou entendendo?
58560;62560;"04, 01";Aí eu não vou falar nada não, vou deixar para as pessoas comentarem.
62980;64600;"04, 01";Ele foi de Shanks, tudo ok.
65160;66280;"04";Aí tu escondia um braço?
66780;67540;"04";Escondi um braço.
68020;71320;"04";Aí veio bastante gente querendo tirar foto justamente porque eu estava escondendo o braço.
72180;74440;"04";Aí muita gente bateu foto e te deu meio abraço.
74740;75440;"04";Deu meio abraço.
75560;79060;"04, 01";Na verdade eu dei meio abraço nas pessoas e as pessoas me deram um abraço completo.
79360;79720;"01";É verdade.
80120;83720;"04";Mas pô, foi muito maneiro porque teve muita criança querendo tirar foto.
83720;88540;"04";Teve uma criancinha vestida de Luffy que veio me perguntar se eu acreditava nela que ela seria o rei do espelho.
88560;92160;"04";E as piratas falando que amam o Shanks, falando que ele me amava.
92560;95220;"04";Pô, aí tu fez a cena de segurar o chapéu de palha.
95700;97840;"04, 01";Óbvio, eu tirei foto e tudo fazendo essa cena.
97960;99900;"04, 01";Essa é a cena, essa é a cena.
100260;103800;"04, 01";Eu deixei de casa, se o Shanks vir botar o chapéu de palha eu vou para o mar.
104180;112280;"04";Ok, quando tiver um evento de anime aí perto que tu vai participar, eu já vou de Shanks só para botar o chapéu de palha em tu para te fazer sair de casa.
112660;113060;"04";Beleza.
113420;115040;"04, 01";Acabou a peguacha e eu viro marinheiro.
117540;118540;"01";Olá, eu sou Marcelo Machado.
118540;121860;"01";Eu sou o Guaxinim, narrador, produtor, idealizador, podcast de realidades e paralelas do Guaxinim.
122420;124740;"01";E vai ter episódio extra no mês que vem.
125040;127700;"01";Já me arrependi, porque eu vou ter que pagar por ele.
128040;130820;"01";Mas vai ter porque eu prometi e promessa é dívida, seja padrão.
131400;133200;"01";Pra quem não sabe, eu gostei bastante do Escudo Mestre.
133500;135660;"01";Aqui vamos ler os comentários que eu tirei das teorias do último episódio.
136140;137540;"01";Que no caso foi...
138260;139420;"01";A Menina dos Sonhos.
140760;144280;"01";Um comentário novo agora que eu comecei é sacanagem, deve ser hoje em dia.
144860;147920;"01";A Menina dos Sonhos, RPG Guaxa 174.
148540;150260;"01";Contrário do Junkie, é 171.
151700;161000;"01";E pra comentar os comentários do episódio passado, recebemos aqui nosso querido estreante, Thiago.
161160;161800;"01";Tudo bem, querido?
162020;166080;"04";E aí, Guaxa? Tudo tranquilo? Está tudo na paz aqui? Tudo certinho?
166700;169560;"04, 01";Querido, tu conheceu o RPG Guaxa como?
169780;173660;"04";Cara, tem cinco anos que eu escuto o RPG Guaxa.
173800;177380;"04";Então eu conheci ele lá pela RPG Next, pela indicação da Shed.
177380;177500;"04";Sim.
178540;185820;"04";Se eu não me engano, foi o episódio 20 ou 21, que foi o primeiro episódio dos Cavaleiros do Bicho.
186280;192340;"04, 00";Foi o primeiro episódio que eu escutei, que já me agarrou na RPG Guaxa.
192800;195220;"04";E de lá pra cá eu venho ouvindo e divulgando vocês.
196040;196460;"04";Só que...
196460;197560;"04";Só que...
197560;203360;"04";Acho que tem um ano e meio que eu comecei a realmente contribuir, a participar da taberna e tal.
203800;206400;"04";Mas já é o bolso de muito tempo atrás.
207020;207500;"01";Perfeito.
207500;207580;"01";O...
207580;207620;"unknown";O...
207620;207660;"unknown";O...
207660;207700;"unknown";O...
207700;207740;"unknown";O...
207740;207800;"01";O...
207800;207900;"01";O...
207900;207960;"01";O...
207960;208020;"01";O...
208020;208080;"01";O...
208080;208120;"01";O...
208120;208140;"01";O...
208140;208520;"01";O...
208540;212340;"01";Eu tinha convidado pra jogar a Zuzu e a Rafa.
212440;213880;"01";Deixa eu ver se eu acho até a mensagem aqui.
214080;216820;"01";Pedi sugestão de um menino pra fechar a aventura, né?
216820;218160;"01";Pra ser duas meninas e um menino.
218860;219260;"01";E...
219260;221000;"01";A Zuzu falou, tem o Tiago ou o Jean.
221440;222060;"01";Ela falou os dois.
222740;224980;"01";Aí a Rafa falou, tem sendo o Tiago também.
226020;226300;"01";Ah...
226300;228200;"01";Aí eu falei, eu respondi, quem é Tiago?
228300;229580;"01";Foi isso que eu respondi.
230520;231620;"01";É natural.
232160;233200;"01";Eu sou bem quietinha também.
234280;234640;"01";Ok.
234800;235520;"01";Temos um Tiago.
235620;236680;"01";Foi isso que eu descobri aquele dia.
237260;237740;"01";E daí, beleza.
237740;242340;"01";Se as duas recomendaram, a regra é clara, a gente dá a chance.
242980;245800;"01";E a regra é que quem nunca gravou o Guaxa Verso tem a prioridade.
245920;247600;"01";Então a prioridade do Jean é tua.
248040;249300;"01";Então, maravilha, maravilha.
249720;252320;"01";Pelo que eu ouvi, só elogios a participação dos três, né?
252720;254800;"01";Então, talvez, talvez apareça de novo.
255120;257920;"00, 04, 01, 02";Se um dia eu chamar a Zuzu de novo e ela recomendar de novo, talvez.
258540;260240;"01";Porra, dois comentários novos, vocês param.
260700;262420;"04, 01";E era o Jean mesmo, filho da mãe.
262440;262920;"04, 01";Era o Jean.
263340;264680;"04";Eu atualizei aqui na hora que tu falou.
264780;265340;"04";Acho que é o Jean.
265700;266680;"04";Realmente virou o Jean.
266680;267680;"04, 01";É o Jean.
267740;269180;"01";Que filho da mãe.
269420;270040;"01";Mas tá bom.
270340;271260;"01";Deixa eu atualizar isso aqui.
271500;276760;"01";Pessoal, como eu falei, o nosso mês de outubro vai ter um episódio extra, que já estava prometido.
277320;282500;"01";Normalmente saem dois episódios extras entre o meu aniversário e o aniversário da RPG Guaxa.
282980;284180;"01";Esse ano teve um só.
284620;286720;"01";E eu prometi que esse episódio estava faltando.
287160;289480;"01";Ele ia sair extra no dia 31 de outubro.
289840;292200;"01";Ele já está até gravado.
293320;295060;"01";Então, promessa é dívida.
295420;296760;"01";Peço pra vocês, né?
296760;302080;"01";Porque esse episódio, como é um episódio extra e o Zorzal não ganha por mês, ele não é um assalariado.
302140;306480;"01";Ele presta um serviço e ele ganha um valor X por episódio.
306940;308700;"01";Então, esse episódio vai sair extra.
309040;314380;"01";E desde que o PicPay e o Padrim morreram, a renda da RPG Guaxa caiu bastante.
314860;315360;"01";Então, vamos lá.
315640;318820;"01";Em apoia.se barra RPG Guaxa.
319180;320680;"01";Qualquer valor você está ajudando.
321100;323320;"01";A partir de 10 reais você faz parte da taberna.
323320;326560;"01";Eu acho muito legal quando a pessoa manda R$11.
326760;331560;"01";Quando a pessoa manda números que não é exatamente o 10 lá.
331980;334200;"01";Achei divertido a parte de vocês.
334660;336680;"01";Então, muito obrigado a todo mundo.
