0;10120;"03";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120;15000;"03";É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120;15960;"05";Como assim?
16180;18120;"05";Você entendeu a referência do último episódio?
18260;18980;"03, 05";Olha só, faz tudo!
18980;20020;"03, 05";O Guaixa sabe o que faz!
20020;20960;"04, 03, 05";Espera! O que é o Guaixaverso?
21000;22980;"03";Era só uma questão de tempo!
23080;24520;"03";O Guaixaverso sempre existiu!
24520;27180;"04, 01, 03";Eu quero entender o Guaixaverso!
27220;28560;"04, 03";Alguém me explica o que é o Guaixaverso?
28560;32020;"04, 01";É, pessoal, não existe o Guaixaverso!
32100;33720;"01, 06";Eu acredito no Guaixaverso!
33760;36560;"01";Mas supondo que ele exista...
37880;41520;"06";Guaixaverso, onde o que não existe é debatido!
49900;54680;"01";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidade Pra Lá do Guaxinim,
54680;58440;"01";e se tem a voz da Jujuba, é óbvio que é uma boa.
58440;60440;"01";O Guaixaverso é o nosso antigo escudo-mestre.
60440;62440;"01";Para quem não sabe, o Guaixaverso é o nosso antigo escudo-mestre.
62440;67440;"01";Aqui vamos ler os comentários e discutir as teorias do último episódio,
67440;71440;"07, 01";que, no caso, foi o canto da cigarra.
71440;75440;"01";É interessante que o personagem Kelly, que é a cigarra,
75440;79440;"01";caso alguém não tenha notado, ele canta nessa aventura.
79440;81440;"01";Por isso, o canto, né?
81440;84440;"01";O canto da cigarra, quando acontece na natureza mesmo,
84440;87440;"01";é porque quer atrair uma pessoa...
87440;88440;"01";Eu não sei se é o cigarro, mas...
88440;91440;"01";Não é o cigarro que canta para a cigarra, ao contrário.
91440;94440;"01";Mas é aquela ideia de atrair o outro, né?
94440;95440;"01";Que acaba acontecendo.
95440;98440;"01";Então, essas eram as referências do nome ali.
98440;102440;"01";Mas antes de ler os comentários de vocês e falar mais do episódio,
102440;106440;"01";lembro vocês que é importantíssimo que vocês nos sigam nas redes sociais,
106440;109440;"01";arroba marcelo guaxinim, arroba rp guaxa,
109440;111440;"01";tanto no Twitter quanto no Instagram.
111440;114440;"01";Outra coisa que é muito bacana, e que tu tem muito a ganhar,
114440;116440;"01";é ser nosso padrinho.
116440;117440;"01";A partir de um real, você ajuda.
117440;120440;"01";Você ajuda a partir de 10 reais e faz parte do grupo do Telegram,
120440;122440;"01";que tem vários subgrupos.
122440;127440;"01";Lá o pessoal está sempre conversando comigo sobre assuntos variadíssimos.
127440;131440;"01";Esse episódio acabou atrasando um pouco, né? Vai sair na sexta-feira.
131440;135440;"01";A gente está falando lá um pouco sobre os mangás da semana.
135440;140440;"01";Eu cantei a música da Fazendinha no grupo lá de Bom Dia.
140440;142440;"01";O pessoal está lá se ajudando.
142440;144440;"01";É muito bacana, é uma comunidade maravilhosa.
144440;146440;"01";Você deveria vir conhecer.
146440;150440;"01";E, obviamente, tu vai poder estar gravando vozes para os NPCs.
150440;153440;"01";Estar gravando as regras.
153440;157440;"01";E, muito raramente, eu faço uma brincadeira lá,
157440;159440;"01";valendo uma vaga para jogar um episódio.
159440;162440;"01";Então, vem conhecer.
162440;164440;"01";Vem fazer parte desta família maravilhosa.
164440;165440;"01";Mas vamos lá.
165440;168440;"01";Vamos ouvir o que ficou gravado da live,
168440;170440;"01";onde eu li as perguntas.
170440;174440;"01";E se você quiser fazer parte da próxima Leitura do Guaxa Verso,
174440;175440;"01";fique ligado nas redes sociais.
175440;178440;"01";E segue a gente lá na Twitch.
178440;181440;"01";O canal da Twitch, por enquanto, está com o nome antigo ainda.
181440;183440;"01";Que é Marcelo Guaxinim.
183440;185440;"01";E daí tu põe mais um M no final.
185440;186440;"01";Ele tem dois Ms no final.
186440;189440;"01";Mas eu quero, assim que possível, mudar para RPGuaxa.
189440;190440;"01";Então, se não der pra...
190440;191440;"01";Procura RPGuaxa.
191440;195440;"01";Se não tiver, vai pelo Marcelo Guaxinim com M a mais no final.
195440;197440;"01";Agora sim, vamos ouvir.
197440;200440;"01";Então, vamos começar a leitura de comentários do último episódio.
200440;204440;"01";Que foi o Canto da Cigarra RPGuaxa 85.
204440;207440;"01";Como vocês sabem, ele é a parte 2 de uma trilogia.
207440;210440;"01";Então, muitas perguntas que vão ser feitas,
210440;212440;"01";eu vou acabar não respondendo.
212440;215440;"01";O primeiro comentário é do Jorge Marcos Santos Silva.
215440;216440;"01";Ele coloca...
216440;217440;"01";E aí, Guaxa.
217440;219440;"01";Como você está, meu caro?
219440;220440;"01";Eu estou bem.
220440;221440;"01";Como disse o chat antes.
221440;223440;"01";Tirando a pandemia e o Brasil, eu estou ótimo.
223440;227440;"01";Só o episódio da RPGuaxa para me deixar acordado no transporte público,
227440;228440;"01";indo para o trabalho.
228440;230440;"01";Isso e o fato de não ter lugar para sentar.
230440;232440;"01";É sempre um problema, né?
232440;233440;"01";Não RPGuaxa.
233440;234440;"01";É pegote.
234440;235440;"01";O lugar para sentar.
235440;236440;"01";Episódio maravilhoso de ouvir.
236440;241440;"01";Gostei ainda mais da trilha sonora com os dedinhos leves de The Last of Us.
241440;242440;"01";Ou estou errado?
242440;243440;"01";Eu acho que sim.
243440;244440;"01";A edição foi do Zorzal.
244440;246440;"01";Essa parte da música não foi o tanto.
246440;249440;"01";Mas eu espero que sim, inclusive.
249440;250440;"01";Vamos lá.
250440;252440;"01";Sabia que a Kelly não era a flor que se cheire.
252440;257440;"01";Tem uma briga lá entre os padrinhos sobre a Kelly ser uma pessoa ruim ou não.
257440;260440;"01";Mas eu deixo sair o episódio 3.
260440;261440;"01";E talvez um quarto.
261440;265440;"01";Os padrinhos me convenceram a fazer um quarto episódio para dar um veredito final.
265440;266440;"01";Mas vamos lá.
266440;267440;"01";Vamos ao comentário dele.
267440;269440;"01";Sabia que a Kelly não era a flor que se cheire.
269440;271440;"01";Mesmo tendo a voz da Jujuba.
271440;272440;"01";É verdade.
272440;273440;"01";Se tem a voz da Jujuba, é uma boa pessoa.
273440;275440;"01";Imagino que ela não seja uma pessoa ruim.
275440;277440;"01";Só folgada e talvez meio desesperada.
277440;278440;"01";Estou certo?
278440;281440;"01";Parcialmente certo ou totalmente errado.
281440;288440;"01";Não sei exatamente sobre a Kelly, mas ser meio desesperado é mais ou menos um pré-requisito
288440;290440;"01";para viver num apocalipse zumbi.
290440;295440;"01";A bruxa, entre aspas, que ela matou na igreja realmente controlava os zumbis?
295440;298440;"01";Me dá mais um episódio para a gente saber um pouco mais sobre isso.
298440;302440;"01";Havia ali alguma possível cura ou só uma forma de controle?
302440;304440;"01";Me dá mais um episódio e a gente conversa sobre isso.
304440;306440;"01";Achei muitíssimo interessante essa ideia.
306440;308440;"01";Algo novo a ser explorado nesse tema.
308440;313440;"01";Embora tenha muito me lembrado minha infância hipnotizando galinhas.
313440;316440;"01";Aliás, a Kelly matou mesmo a bruxa?
316440;318440;"01";Será contada a história delas?
318440;320440;"01";Se não, poderia nos contar?
320440;325440;"01";Não vai ser contada exatamente a história delas, mas a gente vai saber mais um pouco
325440;326440;"01";no próximo episódio.
326440;330440;"01";E imagino que o motivo dos zumbis terem ido embora e voltado agora também será contado,
330440;331440;"01";certo?
331440;332440;"01";Certo.
332440;333440;"01";Por hoje são essas.
333440;335440;"01";Um agradecimento especial para você hoje, Guaxa.
335440;337440;"01";Estou ouvindo Arquivos da Patrulha.
337440;339440;"01";Cara, que incrível.
339440;341440;"01";São todos episódios de explodir cabeças.
341440;344440;"01";Me deu muita ideia para narrar Mago à Ascensão.
344440;345440;"01";Bora?
345440;346440;"01";Eu julguei Mago...
346440;347440;"01";Não.
347440;348440;"01";Eu li o livro da terceira edição.
348440;349440;"01";Ou das...
349440;351440;"01";Na época que o vampiro está na terceira edição.
351440;352440;"07, 01";E achei bem doido.
352440;354440;"07, 01";E também porque comecei a ler Discworld.
354440;356440;"01";Discworld também é muito bom, do Terry Prestes, né?
356440;358440;"01";Depois da sua recomendação.
358440;360440;"01";Ainda estou no primeiro, A Cor da Magia.
360440;362440;"01";Mas que livro incrível.
362440;363440;"01";E eu diria mais.
363440;367440;"01";A Cor da Magia é bom, mas é um dos mais fracos de todos ali.
367440;369440;"01";Ele só melhora exponencialmente.
369440;370440;"01";Grato de coração.
370440;371440;"01";Um forte abraço.
371440;373440;"01";Força e luz para todos nós.
373440;374440;"01";E até mais.
374440;375440;"01";Até mais, meu querido.
375440;376440;"01";Olá, Guaxa.
376440;377440;"01";Olá, chat.
377440;378440;"01";Tudo bem?
378440;380440;"01";Baladino, inclusive, está no chat, né?
380440;382440;"01";Primeiro, eu gostaria de falar que episódio.
382440;384440;"01";A dinâmica dos jogadores foi incrível.
384440;387440;"01";E você conseguiu montar uma trilogia na ordem inversa.
387440;389440;"01";Simplesmente linda.
389440;390440;"01";Obrigado.
390440;392440;"01";O maior desafio para mim era isso.
392440;397440;"01";Era contar três histórias em que elas aconteciam antes sempre uma da outra.
397440;403440;"01";E, sim, a próxima, caso eu não tenha falado antes, ela se passa antes de tudo.
403440;406440;"01";Embora se for rolar um quarto episódio, ele deve se passar depois.
406440;408440;"01";Mas vamos aos spoilers.
408440;411440;"01";Primeiro, vou dedicar essas primeiras linhas...
411440;412440;"01";Nossa, tá gigante.
412440;413440;"01";Vamos lá.
413440;418440;"01";Vou dedicar essas primeiras linhas a passar pano para Kelly, a psicopata favorita.
418440;421440;"01";No grupo de padrinhos, já se está condenando a pobre cigarra.
421440;428440;"01";Mas e se o Pedro, depois de uma torre da noite de amor, tivesse dito que pretendia dominar
428440;429440;"01";a represa?
429440;431440;"01";Seria injusto roubar e fugir?
431440;432440;"01";Nesse caso, não seria.
