0;9460;"06";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120;13220;"06, 00";É isso! É isso! Eu sabia! Eu sabia!
13840;15000;"06, 00";O Guaxaverso existe!
15120;15980;"00";Como assim?
16180;18120;"03, 00";Você entendeu a referência do último episódio?
18240;18940;"03, 07, 00";Olha só, faz tudo!
18940;20020;"03, 07";Não, o Guaxaverso sabe o que faz!
20020;20960;"03, 07";Espera, o que é o Guaxaverso?
21000;22980;"03, 07";Era só uma questão de tempo.
23080;24020;"07";Todos nos conhecemos!
24020;24540;"07";O Guaxaverso sempre existiu!
24540;27180;"03, 07, 05";Eu quero entender o Guaxaverso!
27220;28560;"03, 07";Alguém me explica o que é o Guaxaverso?
28560;32040;"03, 05";É, pessoal, não existe o Guaxaverso.
32100;33740;"05";Eu acredito no Guaxaverso!
33820;36560;"05";Mas supondo que ele exista...
37880;41540;"06";Guaxaverso, onde o que não existe é debatido.
45060;51000;"05";Siga também o arroba Marcelo Asnin e o arroba rpeguaxa, tá aí, isso é um ponto preto.
51080;53040;"04";É, é, tá. Deixa eu ver se vai sair aqui.
53540;57100;"04";Não, eu tô vendo com delay. Onde que eu tô? Não tá aparecendo nada.
57500;58180;"05";Agora apareceu.
58180;58520;"05";Aí, ó.
58900;59980;"05";Sabe que é um podcast, né?
60140;62540;"05";Isso aqui a gente tá aqui só por diversão, mas depois vem o podcast.
63140;65880;"04";Mas o pessoal que tá na live tá aqui, ó, acompanhando pra quem não sabe, hein?
67220;71240;"05";Ok, se você quer saber a letra, a caligrafia do Danilo...
71240;74000;"04, 05";Minha caligrafia de dedo em um tablet.
74800;76180;"05";Isso, tá lá no VOD.
80940;85460;"05";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast da realidade do Pará do Guaxinim e...
85460;88020;"05";A qualquer momento, Dona Neves. A qualquer momento.
88560;90140;"05";Essa é a minha imitação de capitão.
90520;91200;"05";A qualquer momento.
91360;93220;"05";Para quem não sabe, o GuaxaVest é o nosso antigo escudo-mestre.
93320;95600;"05";Aqui vamos ler os comentários e discutir as teorias do último episódio,
96020;100020;"05";que, no caso, foi os animais da floresta e o grande roubo do bolo.
100340;102260;"02, 05";RPE Guaxa 138.
102720;108460;"05";E eu estou aqui hoje com ele, nosso convidado da vez, nosso galo querido,
108860;110240;"05";nosso querido Danilo Battistini.
110660;111300;"05";Boa noite, querido.
111300;117140;"04, 05";Boa noite aos queridos amigos da Twitch, aqueles que nos acompanham,
117140;120040;"04";seja lá onde vocês estiverem, tenham todos uma boa noite.
120500;123180;"04";Muito obrigado, DaviLukT, por ter se inscrito com o Prime.
123540;126700;"04, 05";Como é que seria o Adam falando isso?
126980;130340;"03";Nossa, faz tanto tempo que eu não faço o Adam, eu tinha quase esquecido a voz dele.
130800;131780;"03";Mas é mais ou menos assim.
131900;133940;"03";Então, muito obrigado a todos que estão por aqui,
134240;136740;"03";a todos que ainda não estão por aqui, que vão vir depois,
137060;140900;"03";e a todos aqueles que não estão aqui, não vão vir depois, mas vão vir depois quando sair no feed.
141400;143920;"05";E agora, devolvam o Danilo Battistini quanto pra gente.
143980;146480;"05";O que você faz na internet, como as pessoas te encontram?
146480;147120;"04, 05";Fala, pessoal.
147140;151540;"04";Olá, meu nome é Danilo Battistini, eu sou o criador do podcast Contador de Histórias.
152000;156940;"04";É meu podcast de audiodrama, pra quem não conhece, fica aí o convite, né, pra conhecê-lo.
157360;161640;"04";Você encontra em qualquer agregador de podcast, praticamente, é só procurar por Contador de Histórias.
162120;167300;"04";Tem sete anos de podcast ali, são várias aventuras...
167300;167980;"04";Ah, aventuras, né?
168340;169840;"04";Tô aqui no RPG Watch, tô pensando em aventura.
170860;172800;"04, 01";Ah, tu tá copiando meu formato, é isso?
172800;176800;"04, 02, 01";São vários episódios de, né, tipo...
177140;179360;"04";Antológicos, né, não tem continuação.
179440;183780;"04";Tem algumas séries, sim, que elas estão devidamente numeradas, número de episódios,
183860;189060;"04";mas vários que você consegue ouvir como quiser, na ordem que quiser, do jeito que quiser, tal qual RPG Watch.
189500;190700;"05";Não ex... é isso, não.
190900;192640;"05";Não existe um Danilo Versa, né?
192840;193200;"04";Não.
193520;194480;"04";Pelo menos não que eu saiba.
195100;198540;"04";Apesar que já foi comprovado, né, que eu...
198540;203140;"04";Teve um especial de Natal que eu fiz, que teve alguma coisa que eu...
203140;204440;"04";Putz, o que que tinha acontecido mesmo?
204920;207120;"04";Ah, não, pô, eu coloquei o Sombras de Gal e também...
207120;211240;"04";Tive uma edição aí de um Cavaleiros do Bicho, que alguém tá ouvindo no rádio...
211240;213040;"04, 02, 05";Existe um paralelo aí, né?
213100;217340;"04";Tipo, eu sou um pequeno universo que às vezes aparece no Guaxa Verso.
217460;218580;"05";É, uma oitava linha.
218700;220820;"04, 05";Que não existe também, então na verdade não existe nada, né?
221180;221380;"05";É.
221640;223340;"04, 05";Fica aí o questionamento, nós existimos?
224000;224200;"05";É.
224980;226300;"05";Quem somos, né?
226300;229800;"05";Eu participei semana passada de um...
229800;234480;"05";Décima jornada de licenciatura lá em Rio do Sul.
234520;237080;"05";E os ouvintes que eu encontrei, eu expliquei.
237120;239700;"05";Assim, a função de um evento presencial é decepcionar as pessoas.
240520;243320;"05";Porque a gente guarda uma voz na internet, né?
243740;245400;"05";E a gente encontra a pessoa e ok.
245920;248260;"02, 01, 05";Não é necessariamente aquilo, né?
248780;249020;"05";É.
249740;252000;"05";Pô, na época que a gente começou a fazer CCXP,
252500;256740;"05";que a Jujuba participava de vez em quando lá no SciCast,
257100;258800;"05";que ela era só uma voz misteriosa,
259300;261440;"05";as pessoas se impressionavam com a altura dela.
261620;263720;"05";Porque ela é menor que o Danilo, inclusive.
264720;265340;"05";Hobbits Unidos.
265820;266060;"05";É.
266060;266080;"05";É.
267120;268140;"04";Ela é menor que o Danilo também.
268700;269060;"04";Exatamente.
269400;270940;"04";Por poucos centímetros, mas é.
271720;272720;"05";Eu fico triste, assim.
272860;274800;"05";Seria mais engraçado se ela fosse maior, assim.
274880;275880;"04, 02, 05";Eu acho que ela é muito bonita.
276420;277000;"05";Mas ok.
277160;277780;"05";Ok, ok.
277840;278940;"05";Não é sobre a altura das pessoas.
279300;281060;"05";Eu não tenho 1,80, gente.
281100;281640;"05";Eu tenho menos.
282080;284200;"04, 02, 05";Eu tô falando dos outros aqui porque eu posso.
284380;284600;"02";É isso.
285180;287060;"04, 05";Mas, voltando aqui...
287060;287960;"04";Na verdade, me sigam.
288040;289020;"04";É CDHCast.
289120;289860;"04";Twitter e Instagram.
290180;291060;"04";Tinha só esquecido disso.
291500;291680;"05";É.
292780;293180;"05";CDHCast.
293280;293640;"05";É isso.
293900;295940;"05";O RPG Watch só existe porque a gente tem padrinhos, né?
295940;296060;"05";Eu só conheci o Danilo.
296060;297080;"05";Eu só conheci o Danilo.
297080;297100;"05";Eu só conheci o Danilo.
297120;298360;"05";Eu só conheci o Danilo quando ele se tornou padrinho.
298520;298800;"04, 01, 00, 05";Exatamente.
298800;300500;"00, 01, 05";Já contei essa história um milhão de vezes.
300880;301120;"05";A Jujuba...
301660;302300;"05";Meu Deus!
302380;303380;"05";O Danilo Batistinho!
303560;304040;"05";Ah, quem?
304460;305860;"05";E daí, pô, depois a gente foi atrás.
306360;307940;"05";Danilo, antes de começar o meu aqui.
308520;311120;"05";Danilo esteve, há umas semanas atrás, no...
312000;312660;"05";Não é a Cardiofobia?
312740;313060;"05";Como é que é o nome?
313340;315420;"05";É no curso de podcasts do Léo.
315440;316440;"05";Porra, é um nome tão fácil.
316540;316960;"05";Como é que eu escrevi?
317180;320580;"04, 01, 05";Eu sabia que era um curso de podcast, que ele grava em podcast, né?
