0;40;;"unknown";Música
40;14720;;"07, 10";Mardi Gras é uma festa carnavalesca que ocorre todo ano em Nova Orleans, Estados Unidos
14720;17840;;"10";Sendo um dos mais famosos carnavais do mundo
17840;23140;;"10";Conhecido por suas máscaras de gesso, colares de conchas e paradas com bandinhas
23140;28920;;"10";No dia que precede a quarta-feira de cinzas, a chamada terça-feira gorda
28920;31660;;"10";Ou em francês, Mardi Gras
31660;36240;;"10";Turistas do mundo inteiro visitam essa festa todos os anos
36240;38820;;"10";Mas nem todos os turistas voltam pra casa
38820;41780;;"10";Episódio de hoje, Pirâmide das Almas
41780;44580;;"10";Com Debbie Cabral do Portado Aviante no papel de Emma
44580;50000;;"10";Com Shelly do RPG Next e do Contínuo e do Pode Isso no papel de Lia
50000;54820;;"10";E com Hector lá do High Cast no papel de Tutu, o Túlio
54820;56660;;"10";Todos os links estão na descrição
56660;58820;;"10";Esse episódio foi gravado na forma de
58820;60900;;"10";Live no aniversário de um ano do RP Guaxa
60900;64680;;"10";Se você perdeu isso é porque você não nos segue nas redes sociais
64680;66100;;"10";Então não esqueça de seguir
66100;68080;;"10";Arroba Marcelo Guaxinim
68080;70860;;"10";Arroba RP Guaxa
70860;71580;;"10";Lá no Twitter
71580;73780;;"10";Além de seguir, que é importante pra caramba
73780;75360;;"10";Você pode ajudar esse projeto
75360;78280;;"10";Tanto pelo PicPay, quanto pelo Padrim
78280;80260;;"10";Mais informações no Escudo Mestre
80260;81940;;"10";Ao final do programa
81940;83100;;"10";Boa aventura
83100;85960;;"10";Esse podcast não é recomendado para menores de 16 anos
88820;97500;;"07";Esta versão foi feita para dar uma olhada no potencial das pessoas mostrando semua aqueles que não DIREM
97500;99420;;"07";Que ordenam se o queadeia está certo
99420;101240;;"07";E o que eles estão fazendo
101240;103800;;"07";Essa questão da liberdade
103800;105800;;"unknown";E o produto incrível
105800;107100;;"unknown";Essa estamos falando
107100;108480;;"unknown";Na nossa turma
108480;110520;;"04";A gente vai te dar um detalhe
110520;111660;;"07, 04";Que babe
111660;112480;;"07";Vai fazer bem
112480;113760;;"07";Nosso coração
113980;114740;;"07";Agora vou mergulhar
114740;116580;;"07";Intentando
116580;116880;;"07";Esquecer
116880;118020;;"07";A gente vai seguir
118020;118720;;"07";Tentando
118820;120740;;"13, 07";Ah, assim eu morri.
121920;123140;;"13";Hora iniciativa.
123780;126180;;"08";Então, não tem armadilha.
126460;127060;;"08";Podemos ir.
127800;128960;;"13, 01, 12";O que vocês fazem?
130380;131060;;"02";Tá, tá.
131280;134380;;"02";Eu amarro uma corda nelas e uso como arma.
134760;135640;;"09";Eu ataco.
135640;140000;;"15, 09";O Magro lança seu Thunderbolt mais 15 no Upholder.
140020;142300;;"15, 09";Eu quero rolar a perseguição, posso?
143220;144700;;"09";Tem algum lugar pra se esconder?
145360;147580;;"15";Ah, falha a crítica.
147580;149120;;"15, 08";Ataque de habilidade.
149320;151560;;"15, 08, 11";Ei, Romano, chamo o clínico.
154220;157880;;"00";RPG Realidades Paralelas do Guaxinim.
158260;160540;;"00";Sua aventura de bolso na forma de podcast.
161260;163800;;"00";Uma jornada completa a cada episódio.
177580;207560;;"15, 04, 10";O Magro lança seu Thunderbolt mais 15 no Upholder.
207560;211260;;"10";Mas, vocês tiveram agora alguns dias de folga.
211400;215460;;"10";Como o lugar mais próximo onde todo mundo podia se encontrar era Nova Orleans.
215660;218360;;"10";E estava acontecendo o Carnaval de Nova Orleans.
218560;219860;;"10";Que é o Mar de Grasse, né?
220040;220620;;"03";Mar de Grasse.
220680;221260;;"03, 10";Mar de Grasse.
221380;222100;;"10";É francês, gente.
222120;222600;;"10";Mar de Grasse.
222740;223520;;"10";É o Carnaval deles.
223700;228020;;"10";Vocês curtiram muito, aproveitaram bastante, ganharam vários colares.
228560;232100;;"10";Como é que é o personagem, o nome, o atributo, a aparência de cada um de vocês?
232460;232800;;"10";Shelly.
233100;234080;;"03";Eu sou a Lia.
234340;235600;;"03";Eu tenho 20 anos.
235600;237400;;"03";E, cara, dessa vez eu sou gata.
237560;240920;;"03";Mas tão gata que não tem mais onde colocar colar em mim.
241120;246720;;"03";Aquela pele, assim, bronzeada, olhos verdes, um cabelo preto bem liso, assim, bonitão.
246920;248060;;"03";Mas linda, linda, linda, linda.
248180;249880;;"03";Pensa na mulher mais linda que vocês já viram.
250060;251280;;"03";É a minha personagem dessa vez.
251460;252260;;"10";Qual o atributo dela?
252660;253460;;"03";Atributo 4.
253680;254120;;"10";Perfeito.
254360;254600;;"10";Debbie?
255020;255640;;"05";Ela é a Emma.
256120;258200;;"05";Ela é muito alta.
258480;260640;;"05";Ela é estranhamente alta.
260960;262200;;"05";Então, ela é muito grande.
262400;263300;;"05";Ela deve ter, o quê?
263400;265400;;"05";Uns 1,80, talvez.
265400;267400;;"15, 05";Bem branca e longa.
267560;268560;;"05";Ela é loura.
268760;271760;;"05";Ela sempre usa o cabelo numa trança só pro lado, assim.
271960;275960;;"05";E ela tá, tipo, é Mardi Gras, doidona.
276160;277160;;"05";Já bebeu todas.
277360;278360;;"05";Peito de fora.
278560;280360;;"05";Com o peito todo pintado.
280560;281560;;"05";E é isso.
281760;284360;;"05";E o atributo dela é 5.
284560;287760;;"10";Lembrando que, apesar de ser uma live, é só descrição, tá, gente?
287960;288960;;"10";Você não perdeu isso.
289160;290360;;"10";Pra quem tá ouvindo editar depois.
290560;293160;;"03, 10";Não tem câmera, gente.
293360;294360;;"03, 10";Tudo bem.
294560;295360;;"10";Hector.
295560;297160;;"14";O meu personagem é o Túlio.
297160;299360;;"14";Mas ele prefere que todo mundo chame ele de Tutu.
299560;302760;;"14";Ele tem mais ou menos 1,70, 1,70 e pouco.
302960;304560;;"14";Ele é branco, dos olhos claros.
304760;309760;;"14";E usa cabelo louro com uma franja, tipo Zac Efron em High School Musical.
309960;311760;;"14";E ele é bem do estilo descoladão.
