0;9460;"02";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120;15000;"02";É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120;15960;"03";Como assim?
16180;18000;"03, 02";Você entendeu a referência do último episódio?
18240;18980;"02, 03";Olha só, faz tudo!
18980;20020;"00, 03, 02";Não, o Guaxaverso sabe o que faz!
20020;20960;"00, 03, 02";Espera, o que é o Guaxaverso?
21000;22980;"00, 02, 03";Era só uma questão de tempo.
23080;24520;"02";O Guaxaverso sempre existiu!
24520;27180;"01, 02";Eu quero entender o Guaxaverso!
27220;28560;"01, 02";Alguém me explica o que é o Guaxaverso?
28560;32020;"01";É, pessoal, não existe o Guaxaverso.
32080;33720;"01, 02";Eu acredito no Guaxaverso!
33760;36560;"01";Mas, supondo que ele exista...
37880;41520;"02";Guaxaverso, onde o que não existe é debatido.
45180;50720;"01";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, tradutor de palavras do Guaxinim e...
50720;53620;"01";Andrei, Andrei, Andrei, Andrei...
53620;55900;"01";Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
56380;58540;"01";Aqui vamos ler os comentários e discutir as teorias do último episódio.
58560;63120;"01";Que, no caso, foi Metallica e Raccoon, o grande show.
63540;64460;"01";Fique registrado.
64820;65820;"01";Escolha dos jogadores.
66160;67820;"01";Se o bardo aparecer, me xingando de novo.
68240;70020;"01";Não tem nada a ver com isso.
70520;72040;"01";Estou aqui com um dos jogadores.
72180;74900;"01";A prioridade, porque ela está há mais tempo sem gravar, era Rebel.
75580;76580;"01";Mas a Rebel está com tosse.
76700;78260;"01";Manda em xarope, né?
78320;81460;"01";Mas, torçam pela recuperação dela logo.
83420;85540;"01";Infelizmente, vou ter que chamar ela para jogar um outro episódio.
85960;87640;"01";Para ela poder gravar um Guaxaverso.
87640;88160;"01";Olha que triste.
88560;92360;"01";Mas, o nosso convidado aqui, que é a segunda opção, porque a Ranjal gravou há pouco tempo.
92740;93700;"01";E eu não preciso convidar mais.
93960;95120;"01";É o nosso querido amigo Andrei.
95500;95960;"01";Boa noite.
