0;7520;;"07";Chapeuzinho Vermelho é a história de uma mãe irresponsável que, além de abandonar
7520;12800;;"07";a própria mãe doente no meio de uma casinha na floresta, ela também permite com sua filha
12800;17660;;"07";sair sozinha para visitar a vovó, mesmo sabendo os muitos perigos que existiam no caminho,
17980;19560;;"07";em especial o lobo.
20220;23920;;"07";E não me venha com essa de que a mãe avisou para não seguir o caminho mais curto, pois
23920;28520;;"07";todo mundo sabe que a Chapeuzinho é adolescente, e a adolescente nunca obedece.
28520;34200;;"07";Esse episódio não é sobre mães nem vozinhas, esse episódio é sobre adolescentes e o lobo.
35220;42540;;"07";Episódio de hoje, o lobo, com Agatha Sofia, aqui da RPGuacha, com Alan, do Cheaters Alan's
42540;48520;;"07";Podcast, é um podcast em inglês sobre aula de inglês, e o Peu, lá do Estação 21,
48900;55460;;"07";que está lançando amanhã o seu episódio de estreia de RPG, o D21, além disso ele
55460;58460;;"07";faz parte do dossiê Snicket, e ele é lá do Repórter.
58520;62400;;"07";Vou apresentar-te que você já conhece, dos escudos do mestre aqui da RPGuacha, falo
62400;64900;;"07";sobre tudo isso no escudo, fica ligado.
65320;69460;;"00";Com realidades paralelas do guaxinim, usa o sistema guaxinins e gambiarras.
69820;73560;;"00";Nele, cada jogador possui um único atributo, que vai de 2 a 5.
74000;78440;;"00";Quanto maior o atributo, mais atlético é o personagem, e quanto menor, mais inteligente
78440;79100;;"00";e carismático.
79620;83620;;"00";Sempre que o jogador faz algo com uma chance de errar, joga dois dados e precisa tirar
83620;86700;;"00";o seu atributo, ou menos, para ataques e ações físicas.
87060;88340;;"00";E seu atributo, ou mais, para atos e ações físicas.
88340;88500;;"00";E seu atributo, ou menos, para ataques e ações físicas.
88520;90420;;"00";E seu atributo, ou menos, para ações intelectuais ou sociais.
90740;94720;;"00";Se a jogada for fácil e tiver algum tipo de auxílio, joga um dado a mais.
95100;97700;;"00";Se a jogada for difícil, rola-se um dado a menos.
98240;102440;;"00";Eu sou a Carolina Ferreira, eu sou madrinha do RPGuacha, porque se não fosse por ele,
