0;9460;"00";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120;15000;"00";É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120;15960;"04";Como assim?
16180;18000;"04";Você entendeu a referência do último episódio?
18240;18980;"01, 04, 00";Olha só, faz tudo!
18980;20020;"04, 01";Não, o Guaxaverso sabe o que faz!
20020;20960;"04, 01";Espera, o que é o Guaxaverso?
21000;22980;"04, 01";Era só uma questão de tempo.
23080;24520;"01";O Guaxaverso sempre existiu!
24520;27180;"04, 01";Eu quero entender o Guaxaverso!
27220;28560;"04, 01";Alguém me explica o que é o Guaxaverso?
28560;32020;"06, 04, 00";É, pessoal, não existe o Guaxaverso.
32080;33720;"00";Eu acredito no Guaxaverso!
33820;36560;"06";Mas supondo que ele exista...
37880;41520;"00";Guaxaverso, onde o que não existe é debatido.
45940;49820;"06";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidades para nós do Guaxinim,
49980;53740;"06";e, embora a gente esteja gravando o primeiro de abril, como esse episódio vai sair depois,
54180;56680;"06";a gente está imune a mentiras.
56680;58540;"06";Para quem não sabe, o Guaxaverso...
58560;59940;"06";O Guaxaverso é o nosso antigo escudo-mestre.
60280;62700;"06";Aqui vamos ler os comentários e discutir as teorias do último episódio,
63100;66140;"06";que, no caso, foi Sonhos de Ananda.
66620;69560;"06";R.P. Guaxa, 160.
70360;74980;"06";E eu estou aqui, não com uma, mas com duas pessoas,
75380;77880;"06";e quem ouviu o episódio sabe quem são elas,
78300;80060;"06";só poderiam ser elas.
80480;83640;"06";Quem não ouviu o episódio não deveria estar aqui,
84120;85980;"06";porque, a partir de agora...
85980;86720;"06";Spoilers!
86720;87720;"06";O episódio passado...
88560;93320;"06";Foi o pedido de casamento de Amanda e Ágata.
93320;94060;"06";Olá, meninas.
94060;94560;"02, 06";E aí?
94560;95060;"02";Oi.
95060;95560;"06";Beijo, amor.
95560;97060;"06";Beijo.
97060;97560;"06";Ok.
97560;100560;"06";Eu disse o primeiro beijo ao vivo, quer dizer, não é, R.P. Guaxa? É.
100560;103560;"06";Eu já ouvi isso no buraco, no buraco atrás do posto.
103560;105560;"06";É bom explicar, né?
105560;107560;"06";Sim, dá o nome completo.
107560;110560;"06";Não é de mais nada, já que citei Ágata.
110560;113560;"06";Redes sociais e onde as pessoas te acham.
113560;115560;"08";Olá, meu nome é Ágata Sofia.
115560;117560;"08";Vocês podem me achar no Twitter como ÁgataSofia.
117560;118060;"08";Amor.
118060;118560;"08";Sofia.
118560;119560;"08";Underline.
119560;123060;"08";E eu também tenho um podcast de videogames mensal.
123060;126060;"08";Na verdade, é semanal, mas a gente dá uma roubadinha.
126060;129060;"08";Que é tipo um clube dos livros, só que de jogos.
129060;130060;"08";A gente fala todo mês.
130060;134560;"08";Eu e outra pessoa que já apareceu aqui na taverna, que é o Jojô Galvão.
134560;137560;"08";Então, escuta lá o buraco atrás do pôster.
