0;12640;;"04";Crianças com o sonho de ir à praia, mas para fazer isso, elas vão precisar mais do que conquistar o coração da profe, elas vão precisar roubar este coração.
13420;17160;;"04";Episódio de hoje, o pré-1 e o grande roubo do coração.
18220;22400;;"11, 04";Olá, eu sou Marcelo Guaxinim, eu sou o guaxa dessa aventura e estou aqui hoje com...
22400;28120;;"03, 11";Eu sou a Thaís Azul e você pode me encontrar no Instagram, é Tezo Queirão.
28120;32840;;"03, 02";Eu sou a Ju e a minha rede social é o arroba gochete, é isso aí.
33000;45160;;"02";E eu sou a Lulu, ou Luluzinha também, autora de vários RPGs por aí, Luluzinha é muito difícil de você encontrar, então no Twitter é a Luluzinha, underline, e aí você acha o resto.
46140;49600;;"04";O realidade para as guaxinim é o sistema guaxinim e gambiarras.
50260;54540;;"04";Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
54540;57380;;"04";Quanto maior o atributo, mais atlético é o personagem.
57380;60380;;"04";Quanto menor, mais inteligente e carismático.
62220;74480;;"04";Sempre que um jogador faz algo com uma chance de errar, joga dois dados e precisa tirar seu atributo, ou menos, para ataques e ações físicas, e seu atributo, ou mais, para ações intelectuais ou sociais.
75140;78560;;"04";Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
78940;81180;;"04";Se a jogada for difícil, rola-se um dado a menos.
81560;87180;;"04";Não deixe de seguir nas redes sociais, arroba a sua luluzinha, arroba a RPG Goxa, e considere apoiar este projeto.
87380;90460;;"04";A partir de R$ 1,00 você está ajudando a gente a pagar o editor.
90820;105380;;"04";A partir de R$ 10,00 você faz parte do nosso grupo no Telegram, onde você pode gravar voz de NPC, conversar com os jogadores, conversar comigo, sugerir nomes de personagem, ajudar na construção das aventuras e fazer parte de tudo isso.
105380;116380;;"06, 04";7 Realidades Paralelas 1 Infinidade
116380;117140;;"06";Infinidade
117660;121280;;"06";3 Jogadores e 1 Machine
121280;131900;;"06";Respeitável público, não deixem a boba comer sua pipoca, e não tenham um homem forte, pois o espetáculo irá começar.
132520;133720;;"06";Boa aventura!
136540;137440;;"06";5
137440;140500;;"08, 00, 06";4
140500;143400;;"08, 00";3
143400;146000;;"10";2
146000;146980;;"10";1
146980;147000;;"unknown";1
147000;147080;;"unknown";2
147080;147100;;"unknown";3
147100;147120;;"unknown";De raised Says computers.
147120;147140;;"unknown";3
147140;151060;;"00";RPG
151060;153620;;"00";Realidades Paralelas do Guaxinim
153620;156400;;"00";Sua aventura de bolso na forma de podcast
156400;159320;;"00";Uma jornada completa a cada episódio
159320;180060;;"00, 04";A creche encantada da Tia Mel possui apenas 6 turmas
180060;183840;;"04";E se orgulha de ser a escolinha mais ecológica da região
183840;186540;;"04";É uma escola amada e respeitada na comunidade
186540;189140;;"04";Que ganhou reconhecimento nacional no ano passado
189140;189300;;"04";E se orgulha de ser a escola mais ecológica da região
189300;191840;;"04";Quando um grupo pré-escolar evitou um assalto a ban
191840;194160;;"04";Essa notoriedade fez com que as crianças da creche
194160;196740;;"04";Recebessem presentes e oportunidades especiais
196740;200520;;"04";A mais recente delas foi o convite da prefeitura de Prainha Bonita
200520;203200;;"04";Que está patrocinando um passeio de ônibus
203200;205600;;"04";E um piquenique na praia para as turmas
205600;207720;;"04";Todas as turmas aceitaram o convite
207720;210100;;"04";Com exceção da turma da Tia Joana
210100;212640;;"04";A Tia Joana optou por não participar
212640;215460;;"04";Alegando que já tinha outros planos para o dia
215460;217940;;"04";De acordo com a Mari Maldonato
217940;219280;;"04";Mais conhecida como a Mari Maldonato
219280;222960;;"04";A razão para a recusa da professora Joana
222960;225800;;"04";É que ela é uma professora iniciante na creche
225800;228220;;"04";E ainda não desenvolveu um forte vínculo emocional
228220;229100;;"04";Com seus alunos
229100;231480;;"04";Embora muitos dos seus alunos não saibam
231480;232960;;"04";O que significa um forte vínculo emocional
232960;235620;;"04";Por esse motivo, ela tem um plano ambicioso
235620;237140;;"04";Para deixar sua marca na história
237140;239280;;"04";Se no ano passado uma turma ficou famosa
239980;241000;;"04";Por evitar um roubo
241000;243940;;"04";Essa vai entrar para a história por realizar um roubo
243940;247000;;"04";Essa turma vai roubar um coração
247000;248440;;"04";Antes de mais nada
248440;249260;;"04";Vamos conhecer os pés de joelho
249280;250480;;"04";E os personagens agora
250480;251300;;"04";Os nossos jogadores
251300;254420;;"04";Então Zuzu, fala sobre sua personagem
254420;256100;;"04";A aparência e atributo
256100;257480;;"11, 04";Hoje eu vou jogar com a Laura
257480;259560;;"11";Ela é uma menina bem tranquila
259560;262100;;"11";Que faz as coisas bem devagarzinho
262100;263160;;"11";No tempo dela
263160;265020;;"11";Ela está sempre com sono
265020;267940;;"11";Ela é a criança que chega na creche dormindo
267940;269920;;"11";Ela tem cabelos louros grandes
269920;271740;;"11";Sempre presa em uma Maria Chiquinha
271740;274640;;"11";E anda com a sua pelúcia de capivara albina
274640;275680;;"11";O nome dela é Lele
275680;277800;;"11";E ela anda com o bichinho para todo canto
277800;278740;;"04";O atributo, você falou?
279280;280840;;"11";Atributo, ah é, eu esqueci do meu atributo
280840;283100;;"11";Eu tenho 5 anos e meu atributo é 3
283100;285640;;"11, 04";Juleiva, fala sobre seu personagem
285640;286480;;"03, 04";A aparência e atributo
286480;288240;;"03, 04";Oi, eu sou a Eva
288240;291220;;"03";Com W, como a minha mãe me ensinou
291220;292700;;"03";Eu tenho 5 anos
292700;295340;;"03";E eu moro com a minha mãe e com a minha avó
295340;297140;;"03";O meu cabelo é cachado
297140;298280;;"03";E curtinho
298280;300200;;"03";Eu sou branca brasileira
300200;302700;;"03";Ah, e eu gosto muito de insetos
302700;305260;;"03";E eu tenho um formigueiro na minha casa
305260;306440;;"03";Ele é bem bonito
306440;308580;;"03";O meu atributo é o 4
308580;309140;;"04";Perfeito
309280;311640;;"04";E Lulu, fala sobre seu personagem e a aparência e atributo
311640;313940;;"02, 04";Oi, eu sou a Ana Júlia
313940;320020;;"02";E a minha mãe gosta de nome composto
320020;322220;;"02";E eu sou a Ana Júlia
322220;325040;;"02";E eu tenho o cabelo bem curtinho
325040;328720;;"02";Que eu não gosto que ele fica assim na minha cara
328720;330680;;"02";Entra na boca, atrapalha tudo
330680;334840;;"02";E principalmente quando eu tô pintando
334840;336040;;"02";Eu adoro pintar flor
336040;337680;;"02";Eu gosto muito de flor
337680;338160;;"02";Aí eu uso tinta de pincel
338160;338200;;"02";E eu uso tinta de pincel
338200;338240;;"02";E eu uso tinta de pincel
338240;338320;;"02";E eu uso tinta de pincel
338320;339260;;"02";E eu uso tinta de pincel
339280;340360;;"02";Camisa com flor
340360;341540;;"02";Calça com flor
341540;343760;;"02";Laço de cabelo com flor
343760;344540;;"02";Muitas flores
344540;347660;;"02";E eu também gosto de brincar com o Mac 2
347660;349760;;"02";Do meu irmão
349760;352500;;"02";É, eu acho bem legal
352500;355100;;"02";E o meu atributo é 2
355100;356640;;"02";E eu também tenho 5 anos
369280;369860;;"10";E eu tenho 6 anos de idade
369860;370820;;"10";E eu também tenho 6 anos de idade
370820;375500;;"unknown";E eu tenho 6 anos de idade
375500;376580;;"unknown";E eu tenho 6 anos de idade
376580;376940;;"unknown";E eu tenho 6 anos de idade
376940;376980;;"unknown";E eu tenho 6 anos de idade
376980;377340;;"unknown";E eu tenho 6 anos de idade
377340;380220;;"04";Vocês estão então na creche, na sala de vocês
380220;383180;;"04";A prof que cuida de vocês é a prof Joana
383180;385500;;"04";Ela foi contratada há pouco tempo
385500;388940;;"04";Ela parece que é só temporária ali
388940;394900;;"04";E no fim, ela optou, por enquanto, não participar da viagem para a praia
394900;397460;;"04";Mas existe uma menina na sala de vocês
397460;398740;;"04";A Mari Maldonado
398740;399260;;"04";Que ela é uma mulher
399280;400580;;"04";muito famosa na escola
400580;403380;;"04";porque a mãe dela é muito grande
403380;404240;;"04";e imponente
404240;407220;;"04";e o pai dela, das poucas vezes
407220;409260;;"04";que apareceu, é uma figura bem
409260;411320;;"04";esquisita, e ela sempre tem umas histórias
411320;413040;;"04";estranhas pra contar
413040;415020;;"04";e ela falou que tem um plano
415020;417280;;"04";um plano pra vocês conseguirem
418260;419260;;"04";convencer
419260;421340;;"04";a prof. Joana
421340;423320;;"04";ela não gosta da minha tia, né, a levar vocês
423320;425340;;"04";pra praia também, e pra esse
425340;427180;;"04";plano acontecer, ela
427180;429260;;"04";precisa de quatro coisas
429260;431220;;"04";vocês vão ter que reunir
431220;432920;;"04";ali na creche, então ela fala
432920;435380;;"04";vocês estão sentadinhos ali em volta
435380;437000;;"04";de uma mesinha com brinquedo
