0;10480;;"03";Quem nunca olhou para o conteúdo de uma aula e pensou
10480;12360;;"03";Onde isso vai me ajudar na vida?
12760;15700;;"03";Ainda mais se for uma aula optativa que ocorre aos sábados
15700;17400;;"03";E esse nem é um sábado comum
17400;19740;;"03";Esse é o sábado do aniversário do Johnny
19740;23660;;"03";Um aniversário que vai ter comida, bebida, amor e medo
23660;25060;;"03";Episódio de hoje
25060;26740;;"03";Reflexo de Tulu e Azul
26740;29380;;"03";Com a Shelly, lá do RPG Next
29380;31320;;"03";Do Pode Isso e do Continuum
31320;33460;;"03";Com a Andresa e com o Marcelo Rebelo
33460;35080;;"03";Lá da Taverna do Beholder
35080;38120;;"03";E com a Sinari e o Pinheiro, aqui do RPGuaxa
38120;41140;;"03";Na verdade, todos são do RPGuaxa
41140;42880;;"00";O Realidades Paralelas do Guaxinim
42880;44880;;"00";Usa o sistema Guaxinins e Gambiards
44880;47760;;"00";Nele, cada jogador possui apenas um único atributo
47760;48920;;"00";Que vai de 2 a 5
48920;51760;;"00";Quanto maior o atributo, mais atlético é o personagem
51760;54100;;"00";E quanto menor, mais inteligente e carismático
54100;56560;;"00";Sempre que o jogador faz algo com uma chance de errar
56560;57600;;"00";Joga dois dados
57600;59340;;"00";E precisa tirar seu atributo ou menos
59340;60760;;"00";Para ataques e ações físicas
60760;61840;;"00";Ou seu atributo ou mais
61840;63580;;"00";Para ações intelectuais ou sociais
63580;66280;;"00";Se a jogada for fácil ou tiver algum auxílio
66280;67460;;"00";Joga um dado a mais
67460;70100;;"00";Se a jogada for difícil, rola-se um dado a menos
70100;71180;;"00";Eu sou o Pedro Love
71180;72860;;"00";E eu sou padrinho do RPGuaxa
72860;74840;;"00";Porque essas histórias inspiradoras
74840;76520;;"00";Expandiram muito o que eu conhecia por RPG
76520;78960;;"03, 00";Tem um resuminho dessas regras lá no nosso Instagram
78960;80780;;"03";Por sinal, não deixe de nos seguir
80780;82840;;"03";Arroba Marcelo Guaxinim, arroba RPGuaxa
82840;85180;;"03";Tanto no Twitter, quanto no Instagram
85180;86340;;"03";Também considerem ser nosso padrinho
86560;88880;;"03";Para gravar vozes para NPCs
88880;90920;;"03";Gravar essa introdução que você ouviu
90920;92560;;"03";Opinar sobre a aventura
92560;94020;;"03";Jogar com outros padrinhos
94020;95880;;"03";Participar de grupos, etc
95880;97700;;"03";Boa aventura
116560;118700;;"08";Aí vocês estão na caverna
118700;119800;;"08, 00";Rola os dados
119800;122920;;"08, 00";Bola de fogo
122920;126260;;"00, 02, 09";Chama o clérigo
126260;128740;;"09";Como assim eu morri?
129820;130560;;"00, 09";Rola a iniciativa
131340;132040;;"00";Então
132040;134100;;"00";Não tem armadilha
134100;135020;;"00";Podemos ir
135020;136880;;"00, 02, 09";O que vocês fazem?
138280;140660;;"04";Tá, tá, eu amarro uma corda
140660;142280;;"04";Nelas e uso como arma
142280;143540;;"02, 03, 04";Eu ataco
143540;145540;;"02";O mago lança seu Thunderbolt
146560;147840;;"03, 09";15 noob holder
147840;150180;;"03, 09";E eu quero rolar a percepção, posso?
151180;152620;;"05";Tem algum lugar pra se esconder?
153240;155540;;"09";Ah, falha a crítica
155540;157020;;"00, 09";Ataque de habilidade
157020;158120;;"00";Ei, arrumando
